segment,segment_name,ranking,Short,Long,numerator_denominator,Table Number,Table Name
15,Young Indian families,2,P_InfoTech_Tot,PERSONS_Information_Technology_Total,P_InfoTech_Tot|P_Tot_Tot,G50,Highest Non-School Qualification: Field of Study by Age by Sex
15,Young Indian families,2,P_3_or_mo_cond_0_14,PERSONS_Count_of_selected_long_term_health_conditions_Has_one_or_more_selected_long_term_health_conditions_Three_or_more_conditions_Age_0_14_years,P_3_or_mo_cond_0_14|P_Tot_0_14,G20,Count of Selected Long-Term Health Conditions by Age by Sex
15,Young Indian families,2,CF_ChU15_a_no_DSs_a_no_NdCh_F,Couple_family_with_children_under_15_and_no_dependent_students_and_no_non_dependent_children_Families,CF_ChU15_a_no_DSs_a_no_NdCh_F|CF_Total_F,G29,Family Composition
15,Young Indian families,2,Preschool_P,Preschool_Persons,Preschool_P|Tot_P,G15,Type of Educational Institution Attending (Full-time/Part-Time Student Status by Age) by Sex
15,Young Indian families,2,Filipino_Tot_resp,Filipino_Total_responses,Filipino_Tot_resp|Tot_P_Tot_resp,G08,Ancestry by Country of Birth of Parents
15,Young Indian families,2,Age_psns_att_educ_inst_0_4_P,Age_of_Persons_attending_an_education_institution_0_4_years_Persons,Age_psns_att_educ_inst_0_4_P|Tot_P_P,G01,Selected Person Characteristics by Sex
15,Young Indian families,2,T_UOLSE_VWW_16,TOTAL_Uses_other_language_and_speaks_English_Very_well_or_well_Year_of_arrival_2016,T_UOLSE_VWW_16|T_T_T,G11,Proficiency in Spoken English by Year of Arrival in Australia by Age
15,Young Indian families,2,T_UOLSE_VWW_05_10,TOTAL_Uses_other_language_and_speaks_English_Very_well_or_well_Year_of_arrival_2005_2010,T_UOLSE_VWW_05_10|T_T_T,G11,Proficiency in Spoken English by Year of Arrival in Australia by Age
15,Young Indian families,2,Age_yr_0_4_P,Age_years_0_4_years_Persons,Age_yr_0_4_P|Tot_P,G04,Age by Sex
15,Young Indian families,2,Age_yr_30_34_P,Age_years_30_34_years_Persons,Age_yr_30_34_P|Tot_P,G04,Age by Sex
15,Young Indian families,2,Sri_Lankan_Tot_resp,Sri_Lankan_Total_responses,Sri_Lankan_Tot_resp|Tot_P_Tot_resp,G08,Ancestry by Country of Birth of Parents
15,Young Indian families,2,P_20_24_yr_Marrd_reg_marrge,PERSONS_20_24_years_Married_in_a_registered_marriage,P_20_24_yr_Marrd_reg_marrge|P_20_24_yr_Total,G06,Social Marital Status by Age by Sex
15,Young Indian families,2,P_Philippines_Tot,PERSONS_Philippines_Total,P_Philippines_Tot|P_Tot_Tot,G09,Country of Birth of Person by Age by Sex
15,Young Indian families,2,Indian_BP_B_OS,Indian_Both_parents_born_overseas,Indian_BP_B_OS|Indian_Tot_resp,G08,Ancestry by Country of Birth of Parents
15,Young Indian families,2,P_Pakistan_Tot,PERSONS_Pakistan_Total,P_Pakistan_Tot|P_Tot_Tot,G09,Country of Birth of Person by Age by Sex
15,Young Indian families,2,P_Mauritius_Tot,PERSONS_Mauritius_Total,P_Mauritius_Tot|P_Tot_Tot,G09,Country of Birth of Person by Age by Sex
15,Young Indian families,3,P_65_74_yr_Widowed,PERSONS_65_74_years_Widowed,P_65_74_yr_Widowed|P_65_74_yr_Tot,G05,Registered Marital Status by Age by Sex
15,Young Indian families,3,P_55_64_yr_Widowed,PERSONS_55_64_years_Widowed,P_55_64_yr_Widowed|P_55_64_yr_Tot,G05,Registered Marital Status by Age by Sex
15,Young Indian families,3,P_TransPostWhse_ToT,PERSONS_Transport_Postal_and_Warehousing_Total,P_TransPostWhse_ToT|P_ToT_ToT,G53,Highest Non-School Qualification: Level of Education by Industry of Employment by Sex
15,Young Indian families,3,O_MTG_DS_SemiD_ro_or_tce_h_th,Owned_with_a_mortgage_Dwelling_structure_Semi_detached_row_or_terrace_house_townhouse_etc,O_MTG_DS_SemiD_ro_or_tce_h_th|Total_Total,G37,Tenure and Landlord Type by Dwelling Structure
15,Young Indian families,3,M_1800_2399_Tot,1800_2399_Total,M_1800_2399_Tot|Tot_Tot,G38,Mortgage Repayment (Monthly) by Dwelling Structure
15,Young Indian families,3,P_20_24_yr_Married,PERSONS_20_24_years_Married,P_20_24_yr_Married|P_20_24_yr_Tot,G05,Registered Marital Status by Age by Sex
15,Young Indian families,3,Age_yr_40_44_P,Age_years_40_44_years_Persons,Age_yr_40_44_P|Tot_P,G04,Age by Sex
15,Young Indian families,3,HI_3000_3499_Fam_households,3000_3499_Family_households,HI_3000_3499_Fam_households|Tot_Family_households,G33,Total Household Income (Weekly) by Household Composition
15,Young Indian families,3,R_RE_Ag_DS_SemD_ro_or_tc_h_th,Rented_Real_estate_agent_Dwelling_structure_Semi_detached_row_or_terrace_house_townhouse_etc,R_RE_Ag_DS_SemD_ro_or_tc_h_th|Total_Total,G37,Tenure and Landlord Type by Dwelling Structure
15,Young Indian families,3,P_Bangladesh_Tot,PERSONS_Bangladesh_Total,P_Bangladesh_Tot|P_Tot_Tot,G09,Country of Birth of Person by Age by Sex
15,Young Indian families,3,P_45_49_Num_chld_evr_brn_1,Age_group_of_parent_45_49_years_Number_of_children_ever_born_One_child,P_45_49_Num_chld_evr_brn_1|P_45_49_yrs_Total,G28,Number of Children Ever Born 
15,Young Indian families,3,P_40_44_Num_chld_evr_brn_1,Age_group_of_parent_40_44_years_Number_of_children_ever_born_One_child,P_40_44_Num_chld_evr_brn_1|P_40_44_yrs_Total,G28,Number of Children Ever Born 
15,Young Indian families,3,P_Nepal_Tot,PERSONS_Nepal_Total,P_Nepal_Tot|P_Tot_Tot,G09,Country of Birth of Person by Age by Sex
15,Young Indian families,3,P_Ptn_in_RM_15_24,PERSONS_Partner_in_a_registered_marriage_Age_15_24_years,P_Ptn_in_RM_15_24|P_Tot_15_24,G27,Relationship in Household by Age by Sex
15,Young Indian families,3,M_Tot_CF_Own_CCO,MALES_Total_Cared_for_Own_child_children_only,M_Tot_CF_Own_CCO|M_Tot_Total,G26,Unpaid Child Care by Age by Sex
15,Young Indian families,3,M_35_44y_DUDW_30_h_mo,MALES_35_44_years_Did_unpaid_domestic_work_30_hours_or_more,M_35_44y_DUDW_30_h_mo|M_35_44y_Total,G24,Unpaid Domestic Work:  Number of Hours by Age by Sex 
15,Young Indian families,3,P_Sri_Lanka_Tot,PERSONS_Sri_Lanka_Total,P_Sri_Lanka_Tot|P_Tot_Tot,G09,Country of Birth of Person by Age by Sex
15,Young Indian families,3,P_0_cond_Tot,PERSONS_Count_of_selected_long_term_health_conditions_None_of_the_selected_conditions_Age_Total,P_0_cond_Tot|P_Tot_Tot,G20,Count of Selected Long-Term Health Conditions by Age by Sex
15,Young Indian families,3,P_None_Tot,PERSONS_No_long_term_health_conditions_Age_Total_responses,P_None_Tot|P_Tot_Tot,G19,Type of Long-Term Health Condition by Age by Sex
15,Young Indian families,3,P_Zimbabwe_Tot,PERSONS_Zimbabwe_Total,P_Zimbabwe_Tot|P_Tot_Tot,G09,Country of Birth of Person by Age by Sex
15,Young Indian families,3,T_UOLSE_T_05_10,TOTAL_Uses_other_language_and_speaks_English_Total_Year_of_arrival_2005_2010,T_UOLSE_T_05_10|T_T_T,G11,Proficiency in Spoken English by Year of Arrival in Australia by Age
15,Young Indian families,3,T_UOLSE_T_16,TOTAL_Uses_other_language_and_speaks_English_Total_Year_of_arrival_2016,T_UOLSE_T_16|T_T_T,G11,Proficiency in Spoken English by Year of Arrival in Australia by Age
15,Young Indian families,3,One_method_Train_P,One_method_Train_Persons,One_method_Train_P|Tot_P,G62,Method of Travel to Work by Sex
16,High rise rental,1,R_RE_Agt_DS_Flat_apart,Rented_Real_estate_agent_Dwelling_structure_Flat_or_apartment,R_RE_Agt_DS_Flat_apart|Total_Total,G37,Tenure and Landlord Type by Dwelling Structure
16,High rise rental,1,non_sch_qual_PostGrad_Dgre_P,Highest_non_school_qualifications_Postgraduate_Degree_Level_Persons,non_sch_qual_PostGrad_Dgre_P|lfs_Tot_LF_P,G43,Selected Labour Force Education and Migration Characteristics by Sex
16,High rise rental,1,P_50_54_Num_chld_evr_brn_Nne,Age_group_of_parent_50_54_years_Number_of_children_ever_born_No_children,P_50_54_Num_chld_evr_brn_Nne|P_50_54_yrs_Total,G28,Number of Children Ever Born 
16,High rise rental,1,T_UOLSE_VWW_21,TOTAL_Uses_other_language_and_speaks_English_Very_well_or_well_Year_of_arrival_2021,T_UOLSE_VWW_21|T_T_T,G11,Proficiency in Spoken English by Year of Arrival in Australia by Age
16,High rise rental,1,T_UOLSE_VWW_19,TOTAL_Uses_other_language_and_speaks_English_Very_well_or_well_Year_of_arrival_2019,T_UOLSE_VWW_19|T_T_T,G11,Proficiency in Spoken English by Year of Arrival in Australia by Age
16,High rise rental,1,T_UOLSE_VWW_18,TOTAL_Uses_other_language_and_speaks_English_Very_well_or_well_Year_of_arrival_2018,T_UOLSE_VWW_18|T_T_T,G11,Proficiency in Spoken English by Year of Arrival in Australia by Age
16,High rise rental,1,T_UOLSE_VWW_17,TOTAL_Uses_other_language_and_speaks_English_Very_well_or_well_Year_of_arrival_2017,T_UOLSE_VWW_17|T_T_T,G11,Proficiency in Spoken English by Year of Arrival in Australia by Age
16,High rise rental,1,T_UOLSE_NWNAA_20,TOTAL_Uses_other_language_and_speaks_English_Not_well_or_not_at_all_Year_of_arrival_2020,T_UOLSE_NWNAA_20|T_T_T,G11,Proficiency in Spoken English by Year of Arrival in Australia by Age
16,High rise rental,1,T_UOLSE_VWW_16,TOTAL_Uses_other_language_and_speaks_English_Very_well_or_well_Year_of_arrival_2016,T_UOLSE_VWW_16|T_T_T,G11,Proficiency in Spoken English by Year of Arrival in Australia by Age
16,High rise rental,1,M_3000_3999_1PFNC_und15,3000_3999_One_parent_family_with_No_children_under_15,M_3000_3999_1PFNC_und15|Tot_Tot,G39,Mortgage Repayment (Monthly) by Family Composition
16,High rise rental,1,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Different_usual_address_1_year_ago_Same_Statistical_Area_Level_2_SA2_Persons,Dif_Usl_ad_1_yr_ago_Sme_SA2_P|Tot_P,G44,Place of Usual Residence 1 Year Ago by Sex
16,High rise rental,1,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Different_usual_address_1_year_ago_Different_SA2_in_Total_Persons,Dif_Us_ad_1_ago_Dif_SA2_Tot_P|Tot_P,G44,Place of Usual Residence 1 Year Ago by Sex
16,High rise rental,1,P_Elsewhere_Tot,PERSONS_Born_elsewhere_Total,P_Elsewhere_Tot|P_Tot_Tot,G09,Country of Birth of Person by Age by Sex
16,High rise rental,1,M_3000_3999_CFNC,3000_3999_Couple_family_with_No_children,M_3000_3999_CFNC|Tot_Tot,G39,Mortgage Repayment (Monthly) by Family Composition
16,High rise rental,1,Difnt_Usl_add_5_yr_ago_OS_P,Different_usual_address_5_years_ago_Overseas_Persons,Difnt_Usl_add_5_yr_ago_OS_P|Tot_P,G45,Place of Usual Residence 5 Years Ago by Sex
16,High rise rental,1,Migtn_Lvd_Diff_add_1_yr_ago_P,Migration_Lived_at_different_address_1_year_ago_Persons,Migtn_Lvd_Diff_add_1_yr_ago_P|lfs_Tot_LF_P,G43,Selected Labour Force Education and Migration Characteristics by Sex
16,High rise rental,1,M_2600_2999_1PFNC_und15,2600_2999_One_parent_family_with_No_children_under_15,M_2600_2999_1PFNC_und15|Tot_Tot,G39,Mortgage Repayment (Monthly) by Family Composition
16,High rise rental,1,T_UOLSE_T_16,TOTAL_Uses_other_language_and_speaks_English_Total_Year_of_arrival_2016,T_UOLSE_T_16|T_T_T,G11,Proficiency in Spoken English by Year of Arrival in Australia by Age
16,High rise rental,1,T_UOLSE_T_18,TOTAL_Uses_other_language_and_speaks_English_Total_Year_of_arrival_2018,T_UOLSE_T_18|T_T_T,G11,Proficiency in Spoken English by Year of Arrival in Australia by Age
16,High rise rental,1,P_Ptn_in_DFM_Tot,PERSONS_Partner_in_de_facto_marriage_Total,P_Ptn_in_DFM_Tot|P_Tot_Tot,G27,Relationship in Household by Age by Sex
16,High rise rental,1,P_Ptn_in_DFM_15_24,PERSONS_Partner_in_de_facto_marriage_Age_15_24_years,P_Ptn_in_DFM_15_24|P_Tot_15_24,G27,Relationship in Household by Age by Sex
16,High rise rental,1,P_LonePsn_15_24,PERSONS_Lone_person_Age_15_24_years,P_LonePsn_15_24|P_Tot_15_24,G27,Relationship in Household by Age by Sex
16,High rise rental,1,P_LonePsn_25_34,PERSONS_Lone_person_Age_25_34_years,P_LonePsn_25_34|P_Tot_25_34,G27,Relationship in Household by Age by Sex
16,High rise rental,1,Total_NofB_1,Total_Number_of_bedrooms_One_bedroom,Total_NofB_1|Total_Total,G41,Dwelling Structure by Number of Bedrooms
16,High rise rental,1,P_LonePsn_35_44,PERSONS_Lone_person_Age_35_44_years,P_LonePsn_35_44|P_Tot_35_44,G27,Relationship in Household by Age by Sex
16,High rise rental,1,T_UOLSE_T_17,TOTAL_Uses_other_language_and_speaks_English_Total_Year_of_arrival_2017,T_UOLSE_T_17|T_T_T,G11,Proficiency in Spoken English by Year of Arrival in Australia by Age
16,High rise rental,1,P_LonePsn_45_54,PERSONS_Lone_person_Age_45_54_years,P_LonePsn_45_54|P_Tot_45_54,G27,Relationship in Household by Age by Sex
16,High rise rental,1,P_Y12e_85ov,PERSONS_Year_12_or_equivalent_Age_85_years_and_over,P_Y12e_85ov|P_Tot_85ov,G16,Highest Year of School Completed by Age by Sex
16,High rise rental,1,P_40_44_Num_chld_evr_brn_Nne,Age_group_of_parent_40_44_years_Number_of_children_ever_born_No_children,P_40_44_Num_chld_evr_brn_Nne|P_40_44_yrs_Total,G28,Number of Children Ever Born 
16,High rise rental,1,Other_type_educ_instit_Tot_P,Other_type_of_education_institution_Total_Persons,Other_type_educ_instit_Tot_P|Tot_P,G15,Type of Educational Institution Attending (Full-time/Part-Time Student Status by Age) by Sex
16,High rise rental,1,P_45_49_Num_chld_evr_brn_Nne,Age_group_of_parent_45_49_years_Number_of_children_ever_born_No_children,P_45_49_Num_chld_evr_brn_Nne|P_45_49_yrs_Total,G28,Number of Children Ever Born 
16,High rise rental,1,O_MTG_DS_Flat_apart,Owned_with_a_mortgage_Dwelling_structure_Flat_or_apartment,O_MTG_DS_Flat_apart|Total_Total,G37,Tenure and Landlord Type by Dwelling Structure
16,High rise rental,1,T_UOLSE_T_19,TOTAL_Uses_other_language_and_speaks_English_Total_Year_of_arrival_2019,T_UOLSE_T_19|T_T_T,G11,Proficiency in Spoken English by Year of Arrival in Australia by Age
16,High rise rental,1,Total_NofB_2,Total_Number_of_bedrooms_Two_bedrooms,Total_NofB_2|Total_Total,G41,Dwelling Structure by Number of Bedrooms
16,High rise rental,1,P_70_74_Num_chld_evr_brn_1,Age_group_of_parent_70_74_years_Number_of_children_ever_born_One_child,P_70_74_Num_chld_evr_brn_1|P_70_74_yrs_Total,G28,Number of Children Ever Born 
16,High rise rental,1,Difnt_Usl_add_1_yr_ago_OS_P,Different_usual_address_1_year_ago_Overseas_Persons,Difnt_Usl_add_1_yr_ago_OS_P|Tot_P,G44,Place of Usual Residence 1 Year Ago by Sex
16,High rise rental,1,M_2600_2999_CFNC,2600_2999_Couple_family_with_No_children,M_2600_2999_CFNC|Tot_Tot,G39,Mortgage Repayment (Monthly) by Family Composition
16,High rise rental,1,Age_25_34_yr_P,Age_groups_25_34_years_Persons,Age_25_34_yr_P|Tot_P_P,G01,Selected Person Characteristics by Sex
16,High rise rental,1,O_OR_DS_Flat_apart,Owned_outright_Dwelling_structure_Flat_or_apartment,O_OR_DS_Flat_apart|Total_Total,G37,Tenure and Landlord Type by Dwelling Structure
16,High rise rental,1,OPDs_Flt_apart_Tot_Dwgs,Occupied_private_dwellings_Flat_or_apartment_Total_Dwellings,OPDs_Flt_apart_Tot_Dwgs|Total_PDs_Dwellings,G36,Dwelling Structure
16,High rise rental,1,OPDs_F_ap_I_9_m_sty_blk_Ds,Occupied_private_dwellings_Flat_or_apartment_In_a_nine_or_more_storey_block_Dwellings,OPDs_F_ap_I_9_m_sty_blk_Ds|Total_PDs_Dwellings,G36,Dwelling Structure
16,High rise rental,1,Age_psns_att_edu_inst_25_ov_P,Age_of_Persons_attending_an_education_institution_25_years_and_over_Persons,Age_psns_att_edu_inst_25_ov_P|Tot_P_P,G01,Selected Person Characteristics by Sex
16,High rise rental,1,R_Tot_DS_Flat_apart,Rented_Total_Dwelling_structure_Flat_or_apartment,R_Tot_DS_Flat_apart|Total_Total,G37,Tenure and Landlord Type by Dwelling Structure
16,High rise rental,1,Num_MVs_per_dweling_1_MVs,Number_of_motor_vehicles_per_dwelling_One_motor_vehicle_Dwellings,Num_MVs_per_dweling_1_MVs|Total_dwelings,G34,Number of Motor Vehicles by Dwellings
16,High rise rental,1,Age_yr_25_29_P,Age_years_25_29_years_Persons,Age_yr_25_29_P|Tot_P,G04,Age by Sex
16,High rise rental,1,Age_yr_30_34_P,Age_years_30_34_years_Persons,Age_yr_30_34_P|Tot_P,G04,Age by Sex
16,High rise rental,1,Neg_Nil_inc_fam_households,Negative_Nil_income_Family_households,Neg_Nil_inc_fam_households|Tot_Family_households,G33,Total Household Income (Weekly) by Household Composition
16,High rise rental,1,Total_DS_Flat_apart,Total_Dwelling_structure_Flat_or_apartment,Total_DS_Flat_apart|Total_Total,G37,Tenure and Landlord Type by Dwelling Structure
16,High rise rental,1,P_Japan_Tot,PERSONS_Japan_Total,P_Japan_Tot|P_Tot_Tot,G09,Country of Birth of Person by Age by Sex
16,High rise rental,1,P_Tot_Married_de_facto,PERSONS_Total_Married_in_a_de_facto_marriage,P_Tot_Married_de_facto|P_Tot_Total,G06,Social Marital Status by Age by Sex
16,High rise rental,1,OPF_no_ChU15_a_DSs_no_NdCh_P,One_parent_family_with_no_children_under_15_and_with_dependent_students_and_no_non_dependent_children_Persons,OPF_no_ChU15_a_DSs_no_NdCh_P|OPF_Total_P,G29,Family Composition
16,High rise rental,1,P_ProScieTechServ_ToT,PERSONS_Professional_Scientific_and_Technical_Services_Total,P_ProScieTechServ_ToT|P_ToT_ToT,G53,Highest Non-School Qualification: Level of Education by Industry of Employment by Sex
16,High rise rental,1,P_15_19_yr_Married_de_facto,PERSONS_15_19_years_Married_in_a_de_facto_marriage,P_15_19_yr_Married_de_facto|P_15_19_yr_Total,G06,Social Marital Status by Age by Sex
16,High rise rental,1,R_450_549_LT_Real_eSte_agent,450_549_Landlord_type_Real_estate_agent,R_450_549_LT_Real_eSte_agent|Tot_Tot,G40,Rent (Weekly) by Landlord Type
16,High rise rental,1,OPF_no_ChU15_a_DSs_no_NdCh_F,One_parent_family_with_no_children_under_15_and_with_dependent_students_and_no_non_dependent_children_Families,OPF_no_ChU15_a_DSs_no_NdCh_F|OPF_Total_F,G29,Family Composition
16,High rise rental,1,CF_ChU15_a_no_DSs_a_no_NdCh_P,Couple_family_with_children_under_15_and_no_dependent_students_and_no_non_dependent_children_Persons,CF_ChU15_a_no_DSs_a_no_NdCh_P|CF_Total_P,G29,Family Composition
16,High rise rental,1,P_PGrad_Deg_Total,PERSONS_Postgraduate_Degree_Level_Total,P_PGrad_Deg_Total|P_Tot_Total,G49,Highest Non-School Qualification:  Level of Education by Age by Sex
16,High rise rental,1,NZ_BP_B_OS,New_Zealander_Both_parents_born_overseas,NZ_BP_B_OS|NZ_Tot_resp,G08,Ancestry by Country of Birth of Parents
16,High rise rental,1,P_Indonesia_Tot,PERSONS_Indonesia_Total,P_Indonesia_Tot|P_Tot_Tot,G09,Country of Birth of Person by Age by Sex
16,High rise rental,1,CF_ChU15_a_no_DSs_a_no_NdCh_F,Couple_family_with_children_under_15_and_no_dependent_students_and_no_non_dependent_children_Families,CF_ChU15_a_no_DSs_a_no_NdCh_F|CF_Total_F,G29,Family Composition
16,High rise rental,1,Tot_Nmbr_child_ever_born_None,Total_Number_of_children_ever_born_No_children,Tot_Nmbr_child_ever_born_None|Total_Total,G28,Number of Children Ever Born 
16,High rise rental,1,P_Mgnt_Com_Tot,PERSONS_Management_and_Commerce_Total,P_Mgnt_Com_Tot|P_Tot_Tot,G50,Highest Non-School Qualification: Field of Study by Age by Sex
16,High rise rental,1,P_Brazil_Tot,PERSONS_Brazil_Total,P_Brazil_Tot|P_Tot_Tot,G09,Country of Birth of Person by Age by Sex
16,High rise rental,1,P_FinInsurS_ToT,PERSONS_Financial_and_Insurance_Services_Total,P_FinInsurS_ToT|P_ToT_ToT,G53,Highest Non-School Qualification: Level of Education by Industry of Employment by Sex
16,High rise rental,1,Spanish_Tot_resp,Spanish_Total_responses,Spanish_Tot_resp|Tot_P_Tot_resp,G08,Ancestry by Country of Birth of Parents
16,High rise rental,2,M_4000_4999_1PFNC_und15,4000_4999_One_parent_family_with_No_children_under_15,M_4000_4999_1PFNC_und15|Tot_Tot,G39,Mortgage Repayment (Monthly) by Family Composition
16,High rise rental,2,CF_no_children_F,Couple_family_with_no_children_Families,CF_no_children_F|CF_Total_F,G29,Family Composition
16,High rise rental,2,P_LonePsn_Tot,PERSONS_Lone_person_Total,P_LonePsn_Tot|P_Tot_Tot,G27,Relationship in Household by Age by Sex
16,High rise rental,2,P_50_54_Num_chld_evr_brn_1,Age_group_of_parent_50_54_years_Number_of_children_ever_born_One_child,P_50_54_Num_chld_evr_brn_1|P_50_54_yrs_Total,G28,Number of Children Ever Born 
16,High rise rental,2,P_35_39_Num_chld_evr_brn_Nne,Age_group_of_parent_35_39_years_Number_of_children_ever_born_No_children,P_35_39_Num_chld_evr_brn_Nne|P_35_39_yrs_Total,G28,Number of Children Ever Born 
16,High rise rental,2,P_55_59_Num_chld_evr_brn_1,Age_group_of_parent_55_59_years_Number_of_children_ever_born_One_child,P_55_59_Num_chld_evr_brn_1|P_55_59_yrs_Total,G28,Number of Children Ever Born 
16,High rise rental,2,P_40_44_Num_chld_evr_brn_1,Age_group_of_parent_40_44_years_Number_of_children_ever_born_One_child,P_40_44_Num_chld_evr_brn_1|P_40_44_yrs_Total,G28,Number of Children Ever Born 
16,High rise rental,2,Tot_cpl_fam_no_child,Total_Couple_family_with_no_children,Tot_cpl_fam_no_child|Tot_Tot,G32,Total Family Income (Weekly) by Family Composition
16,High rise rental,2,P_45_49_Num_chld_evr_brn_1,Age_group_of_parent_45_49_years_Number_of_children_ever_born_One_child,P_45_49_Num_chld_evr_brn_1|P_45_49_yrs_Total,G28,Number of Children Ever Born 
16,High rise rental,2,One_PF_BPBO_Tot,One_parent_family_Both_parents_born_overseas_Total,One_PF_BPBO_Tot|Tot_Tot,G30,Family Composition and Country of Birth of Parents by Age of Dependent Children
16,High rise rental,2,Other_family_P,Other_family_Persons,Other_family_P|Total_P,G29,Family Composition
16,High rise rental,2,Other_family_F,Other_family_Families,Other_family_F|Total_F,G29,Family Composition
16,High rise rental,2,CF_no_children_P,Couple_family_with_no_children_Persons,CF_no_children_P|CF_Total_P,G29,Family Composition
16,High rise rental,2,Num_MVs_per_dweling_0_MVs,Number_of_motor_vehicles_per_dwelling_No_motor_vehicles_Dwellings,Num_MVs_per_dweling_0_MVs|Total_dwelings,G34,Number of Motor Vehicles by Dwellings
16,High rise rental,2,Age_20_24_yr_P,Age_groups_20_24_years_Persons,Age_20_24_yr_P|Tot_P_P,G01,Selected Person Characteristics by Sex
16,High rise rental,2,T_UOLSE_T_20,TOTAL_Uses_other_language_and_speaks_English_Total_Year_of_arrival_2020,T_UOLSE_T_20|T_T_T,G11,Proficiency in Spoken English by Year of Arrival in Australia by Age
16,High rise rental,2,P_85ov_Never_married,PERSONS_85_years_and_over_Never_married,P_85ov_Never_married|P_85ov_Tot,G05,Registered Marital Status by Age by Sex
16,High rise rental,2,P_15_19_yr_Marrd_reg_marrge,PERSONS_15_19_years_Married_in_a_registered_marriage,P_15_19_yr_Marrd_reg_marrge|P_15_19_yr_Total,G06,Social Marital Status by Age by Sex
16,High rise rental,2,P_AdminSupServ_ToT,PERSONS_Administrative_and_Support_Services_Total,P_AdminSupServ_ToT|P_ToT_ToT,G53,Highest Non-School Qualification: Level of Education by Industry of Employment by Sex
16,High rise rental,2,Chinese_BP_B_OS,Chinese_Both_parents_born_overseas,Chinese_BP_B_OS|Chinese_Tot_resp,G08,Ancestry by Country of Birth of Parents
16,High rise rental,2,Age_yr_35_39_P,Age_years_35_39_years_Persons,Age_yr_35_39_P|Tot_P,G04,Age by Sex
16,High rise rental,2,Age_yr_20_24_P,Age_years_20_24_years_Persons,Age_yr_20_24_P|Tot_P,G04,Age by Sex
16,High rise rental,2,Korean_Tot_resp,Korean_Total_responses,Korean_Tot_resp|Tot_P_Tot_resp,G08,Ancestry by Country of Birth of Parents
16,High rise rental,2,Russian_Tot_resp,Russian_Total_responses,Russian_Tot_resp|Tot_P_Tot_resp,G08,Ancestry by Country of Birth of Parents
16,High rise rental,2,P_AccomFoodS_ToT,PERSONS_Accommodation_and_Food_Services_Total,P_AccomFoodS_ToT|P_ToT_ToT,G53,Highest Non-School Qualification: Level of Education by Industry of Employment by Sex
16,High rise rental,2,High_yr_schl_comp_Yr_12_eq_P,Highest_year_of_school_completed_Year_12_or_equivalent_Persons,High_yr_schl_comp_Yr_12_eq_P|Tot_P_P,G01,Selected Person Characteristics by Sex
16,High rise rental,2,R_550_649_LT_Real_eSte_agent,550_649_Landlord_type_Real_estate_agent,R_550_649_LT_Real_eSte_agent|Tot_Tot,G40,Rent (Weekly) by Landlord Type
16,High rise rental,2,P_Ireland_Tot,PERSONS_Ireland_Total,P_Ireland_Tot|P_Tot_Tot,G09,Country of Birth of Person by Age by Sex
16,High rise rental,2,P_Korea_South_Tot,PERSONS_Korea_Republic_of_South_Total,P_Korea_South_Tot|P_Tot_Tot,G09,Country of Birth of Person by Age by Sex
16,High rise rental,2,P_Nepal_Tot,PERSONS_Nepal_Total,P_Nepal_Tot|P_Tot_Tot,G09,Country of Birth of Person by Age by Sex
16,High rise rental,2,One_method_Train_P,One_method_Train_Persons,One_method_Train_P|Tot_P,G62,Method of Travel to Work by Sex
16,High rise rental,2,P_Thailand_Tot,PERSONS_Thailand_Total,P_Thailand_Tot|P_Tot_Tot,G09,Country of Birth of Person by Age by Sex
16,High rise rental,2,non_sch_qual_Bchelr_Degree_P,Highest_non_school_qualifications_Bachelor_Degree_Level_Persons,non_sch_qual_Bchelr_Degree_P|lfs_Tot_LF_P,G43,Selected Labour Force Education and Migration Characteristics by Sex
16,High rise rental,2,T_UOLSE_VWW_20,TOTAL_Uses_other_language_and_speaks_English_Very_well_or_well_Year_of_arrival_2020,T_UOLSE_VWW_20|T_T_T,G11,Proficiency in Spoken English by Year of Arrival in Australia by Age
16,High rise rental,2,T_UOLSE_NWNAA_18,TOTAL_Uses_other_language_and_speaks_English_Not_well_or_not_at_all_Year_of_arrival_2018,T_UOLSE_NWNAA_18|T_T_T,G11,Proficiency in Spoken English by Year of Arrival in Australia by Age
16,High rise rental,2,T_UOLSE_T_21,TOTAL_Uses_other_language_and_speaks_English_Total_Year_of_arrival_2021,T_UOLSE_T_21|T_T_T,G11,Proficiency in Spoken English by Year of Arrival in Australia by Age
16,High rise rental,2,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tertiary_University_or_other_higher_education_Full_time_student_Aged_25_years_and_over_Persons,Tert_Uni_oth_h_edu_Ft_25_ov_P|Tert_Tot_Tert_P,G15,Type of Educational Institution Attending (Full-time/Part-Time Student Status by Age) by Sex
16,High rise rental,2,Tert_Tot_Tert_P,Tertiary_Total_Tertiary_Persons,Tert_Tot_Tert_P|Tot_P,G15,Type of Educational Institution Attending (Full-time/Part-Time Student Status by Age) by Sex
16,High rise rental,2,Birthplace_Elsewhere_P,Birthplace_Elsewhere_Persons,Birthplace_Elsewhere_P|Tot_P_P,G01,Selected Person Characteristics by Sex
